rssilog_id , rssilog_rssi , rssilog_antenna ,     rssilog_timestamp2     , session_sso 
17937950,-85, 11.0.0.24       , 2016-01-24 19:45:10.428854 ,178
17937933,-85, 11.0.0.24       , 2016-01-24 19:45:03.38972  ,178
17937920,-86, 11.0.0.24       , 2016-01-24 19:44:58.345136 ,178
17937910,-96, 11.0.0.24       , 2016-01-24 19:44:54.147982 ,178
17937890,-92, 11.0.0.24       , 2016-01-24 19:44:45.278986 ,178
17937882,0, 11.0.0.24       , 2016-01-24 19:44:40.173573 ,178
17937831,-92, 11.0.0.24       , 2016-01-24 19:44:15.300278 ,178
17937816,0, 11.0.0.24       , 2016-01-24 19:44:10.310383 ,178
17937729,-87, 11.0.0.24       , 2016-01-24 19:43:35.433043 ,178
17937714,-91, 11.0.0.24       , 2016-01-24 19:43:30.438825 ,178
17937700,0, 11.0.0.24       , 2016-01-24 19:43:25.580739 ,178
17937603,-85, 11.0.0.24       , 2016-01-24 19:42:41.407418 ,178
17937591,-85, 11.0.0.24       , 2016-01-24 19:42:36.291036 ,178
17937587,0, 11.0.0.24       , 2016-01-24 19:42:32.126517 ,178
17937548,-93, 11.0.0.24       , 2016-01-24 19:42:08.546146 ,178
17937539,0, 11.0.0.24       , 2016-01-24 19:42:03.524727 ,178
17937433,-92, 11.0.0.24       , 2016-01-24 19:41:01.856239 ,178
17937423,-140, 11.0.0.24       , 2016-01-24 19:40:56.634627 ,178
17937393,0, 11.0.0.24       , 2016-01-24 19:40:41.240774 ,178
17937264,0, 11.0.0.24       , 2016-01-24 19:39:41.250943 ,178
17937090,-54, 11.0.0.24       , 2016-01-24 19:38:13.73842  ,178
17937073,-85, 11.0.0.24       , 2016-01-24 19:38:05.9953   ,178
17937062,-91, 11.0.0.24       , 2016-01-24 19:38:01.227658 ,178
17937050,0, 11.0.0.24       , 2016-01-24 19:37:56.135583 ,178
17936930,-138, 11.0.0.24       , 2016-01-24 19:36:56.615606 ,178
17936906,-42, 11.0.0.24       , 2016-01-24 19:36:39.482267 ,178
17936894,-89, 11.0.0.24       , 2016-01-24 19:36:32.318284 ,178
17936878,-113, 11.0.0.24       , 2016-01-24 19:36:28.032906 ,178
17936859,0, 11.0.0.24       , 2016-01-24 19:36:18.632274 ,178
17936809,-38, 11.0.0.24       , 2016-01-24 19:35:50.56442  ,178
17936801,-93, 11.0.0.24       , 2016-01-24 19:35:45.97008  ,178
17936789,-91, 11.0.0.24       , 2016-01-24 19:35:39.5857   ,178
17936778,-84, 11.0.0.24       , 2016-01-24 19:35:34.393111 ,178
17936770,-89, 11.0.0.24       , 2016-01-24 19:35:29.059701 ,178
17936756,-42, 11.0.0.24       , 2016-01-24 19:35:22.766365 ,178
17936749,0, 11.0.0.24       , 2016-01-24 19:35:17.749468 ,178
17936571,-106, 11.0.0.24       , 2016-01-24 19:33:29.118154 ,178
17936559,-106, 11.0.0.24       , 2016-01-24 19:33:21.891395 ,178
17936538,-102, 11.0.0.24       , 2016-01-24 19:33:10.464826 ,178
17936522,-84, 11.0.0.24       , 2016-01-24 19:33:02.535111 ,178
17936515,-84, 11.0.0.24       , 2016-01-24 19:32:57.567728 ,178
17936505,-53, 11.0.0.24       , 2016-01-24 19:32:51.366239 ,178
17936492,-42, 11.0.0.24       , 2016-01-24 19:32:42.948749 ,178
17936481,0, 11.0.0.24       , 2016-01-24 19:32:37.601522 ,178
17936423,-102, 11.0.0.24       , 2016-01-24 19:32:01.177858 ,178
17936409,-100, 11.0.0.24       , 2016-01-24 19:31:55.230075 ,178
17936387,-96, 11.0.0.24       , 2016-01-24 19:31:48.604555 ,178
17936369,-97, 11.0.0.24       , 2016-01-24 19:31:42.512638 ,178
17936355,-42, 11.0.0.24       , 2016-01-24 19:31:36.497659 ,178
17936338,-85, 11.0.0.24       , 2016-01-24 19:31:29.817243 ,178
17936322,-87, 11.0.0.24       , 2016-01-24 19:31:24.403995 ,178
17936311,-113, 11.0.0.24       , 2016-01-24 19:31:19.723717 ,178
17936289,-109, 11.0.0.24       , 2016-01-24 19:31:10.549936 ,178
17936266,-93, 11.0.0.24       , 2016-01-24 19:31:03.026877 ,178
17936254,-113, 11.0.0.24       , 2016-01-24 19:30:57.289686 ,178
17936231,-117, 11.0.0.24       , 2016-01-24 19:30:47.327253 ,178
17936215,-96, 11.0.0.24       , 2016-01-24 19:30:36.593676 ,178
17936206,-97, 11.0.0.24       , 2016-01-24 19:30:30.289221 ,178
17936191,-85, 11.0.0.24       , 2016-01-24 19:30:22.821791 ,178
17936183,-92, 11.0.0.24       , 2016-01-24 19:30:17.849068 ,178
17936174,-56, 11.0.0.24       , 2016-01-24 19:30:13.276903 ,178
17936157,-103, 11.0.0.24       , 2016-01-24 19:30:02.048243 ,178
17936135,-42, 11.0.0.24       , 2016-01-24 19:29:51.471564 ,178
17936125,-94, 11.0.0.24       , 2016-01-24 19:29:47.14905  ,178
17936118,-98, 11.0.0.24       , 2016-01-24 19:29:42.123789 ,178
17936097,-109, 11.0.0.24       , 2016-01-24 19:29:33.845221 ,178
17936071,-97, 11.0.0.24       , 2016-01-24 19:29:21.813425 ,178
17936053,-46, 11.0.0.24       , 2016-01-24 19:29:11.716928 ,178
17936040,-89, 11.0.0.24       , 2016-01-24 19:29:04.933259 ,178
17936032,-93, 11.0.0.24       , 2016-01-24 19:28:59.754201 ,178
17936024,-120, 11.0.0.24       , 2016-01-24 19:28:54.75068  ,178
17936007,-161, 11.0.0.24       , 2016-01-24 19:28:44.981669 ,178
17935966,-95, 11.0.0.24       , 2016-01-24 19:28:20.603258 ,178
17935957,-100, 11.0.0.24       , 2016-01-24 19:28:15.592818 ,178
17935947,-94, 11.0.0.24       , 2016-01-24 19:28:10.561624 ,178
17935933,-87, 11.0.0.24       , 2016-01-24 19:28:02.589804 ,178
17935921,-103, 11.0.0.24       , 2016-01-24 19:27:57.729371 ,178
17935908,-86, 11.0.0.24       , 2016-01-24 19:27:50.357767 ,178
17935900,-42, 11.0.0.24       , 2016-01-24 19:27:46.231582 ,178
